38272.0,198,3
P-1,U3,0.0,168.0,0.0,55.0,221.0,99.0
P-10,U5,0.0,129.0,80.0,88.0,199.0,165.0
P-100,NONE,-1,-1,-1,-1,-1,-1
P-101,NONE,-1,-1,-1,-1,-1,-1
P-102,U3,51.0,0.0,117.0,121.0,64.0,223.0
P-103,U5,197.0,129.0,0.0,241.0,231.0,78.0
P-104,NONE,-1,-1,-1,-1,-1,-1
P-105,U6,0.0,110.0,93.0,95.0,213.0,173.0
P-106,U5,0.0,0.0,195.0,92.0,54.0,285.0
P-107,U1,0.0,84.0,0.0,100.0,183.0,100.0
P-108,NONE,-1,-1,-1,-1,-1,-1
P-109,U4,0.0,0.0,95.0,79.0,44.0,193.0
P-11,NONE,-1,-1,-1,-1,-1,-1
P-110,NONE,-1,-1,-1,-1,-1,-1
P-111,NONE,-1,-1,-1,-1,-1,-1
P-112,U4,158.0,0.0,60.0,237.0,67.0,123.0
P-113,NONE,-1,-1,-1,-1,-1,-1
P-114,NONE,-1,-1,-1,-1,-1,-1
P-115,NONE,-1,-1,-1,-1,-1,-1
P-116,NONE,-1,-1,-1,-1,-1,-1
P-117,U5,0.0,216.0,226.0,52.0,281.0,275.0
P-118,NONE,-1,-1,-1,-1,-1,-1
P-119,NONE,-1,-1,-1,-1,-1,-1
P-12,NONE,-1,-1,-1,-1,-1,-1
P-120,NONE,-1,-1,-1,-1,-1,-1
P-121,NONE,-1,-1,-1,-1,-1,-1
P-122,NONE,-1,-1,-1,-1,-1,-1
P-123,U3,0.0,268.0,0.0,40.0,311.0,62.0
P-124,U4,57.0,121.0,0.0,161.0,175.0,72.0
P-125,U5,89.0,234.0,147.0,180.0,302.0,232.0
P-126,U5,159.0,61.0,98.0,219.0,125.0,183.0
P-127,NONE,-1,-1,-1,-1,-1,-1
P-128,NONE,-1,-1,-1,-1,-1,-1
P-129,U5,100.0,0.0,0.0,159.0,110.0,85.0
P-13,NONE,-1,-1,-1,-1,-1,-1
P-130,U5,197.0,170.0,205.0,237.0,215.0,283.0
P-131,NONE,-1,-1,-1,-1,-1,-1
P-132,NONE,-1,-1,-1,-1,-1,-1
P-133,U5,0.0,66.0,0.0,91.0,129.0,109.0
P-134,U6,0.0,213.0,109.0,80.0,301.0,206.0
P-135,U2,0.0,0.0,56.0,108.0,66.0,101.0
P-136,U5,89.0,183.0,163.0,155.0,230.0,265.0
P-137,NONE,-1,-1,-1,-1,-1,-1
P-138,NONE,-1,-1,-1,-1,-1,-1
P-139,U5,89.0,234.0,0.0,185.0,318.0,75.0
P-14,U3,55.0,168.0,162.0,100.0,214.0,243.0
P-140,NONE,-1,-1,-1,-1,-1,-1
P-141,NONE,-1,-1,-1,-1,-1,-1
P-142,U6,165.0,110.0,0.0,239.0,202.0,83.0
P-143,NONE,-1,-1,-1,-1,-1,-1
P-144,NONE,-1,-1,-1,-1,-1,-1
P-145,U6,163.0,0.0,0.0,238.0,79.0,106.0
P-146,U3,42.0,221.0,135.0,98.0,266.0,235.0
P-147,U4,161.0,223.0,189.0,207.0,288.0,244.0
P-148,U4,161.0,121.0,50.0,228.0,221.0,99.0
P-149,NONE,-1,-1,-1,-1,-1,-1
P-15,U4,158.0,69.0,0.0,242.0,118.0,60.0
P-150,U4,158.0,69.0,124.0,216.0,111.0,178.0
P-151,NONE,-1,-1,-1,-1,-1,-1
P-152,U1,163.0,100.0,96.0,220.0,167.0,145.0
P-153,NONE,-1,-1,-1,-1,-1,-1
P-154,NONE,-1,-1,-1,-1,-1,-1
P-155,NONE,-1,-1,-1,-1,-1,-1
P-156,U1,98.0,271.0,0.0,208.0,318.0,73.0
P-157,U5,89.0,129.0,146.0,177.0,183.0,234.0
P-158,NONE,-1,-1,-1,-1,-1,-1
P-159,NONE,-1,-1,-1,-1,-1,-1
P-16,U4,57.0,121.0,72.0,150.0,169.0,135.0
P-160,NONE,-1,-1,-1,-1,-1,-1
P-161,NONE,-1,-1,-1,-1,-1,-1
P-162,U5,185.0,234.0,110.0,231.0,299.0,214.0
P-163,U4,57.0,175.0,0.0,140.0,224.0,83.0
P-164,U1,68.0,183.0,52.0,155.0,223.0,154.0
P-165,U6,0.0,110.0,0.0,96.0,213.0,93.0
P-166,U1,0.0,0.0,0.0,62.0,84.0,103.0
P-167,U1,163.0,0.0,0.0,213.0,100.0,47.0
P-168,U5,0.0,129.0,165.0,87.0,197.0,253.0
P-169,U2,0.0,75.0,57.0,48.0,162.0,151.0
P-17,U4,56.0,226.0,176.0,139.0,289.0,233.0
P-170,U1,163.0,0.0,47.0,207.0,100.0,128.0
P-171,U1,44.0,84.0,100.0,99.0,177.0,150.0
P-172,NONE,-1,-1,-1,-1,-1,-1
P-173,NONE,-1,-1,-1,-1,-1,-1
P-174,NONE,-1,-1,-1,-1,-1,-1
P-175,NONE,-1,-1,-1,-1,-1,-1
P-176,NONE,-1,-1,-1,-1,-1,-1
P-177,U1,98.0,271.0,113.0,197.0,312.0,157.0
P-178,NONE,-1,-1,-1,-1,-1,-1
P-179,NONE,-1,-1,-1,-1,-1,-1
P-18,NONE,-1,-1,-1,-1,-1,-1
P-180,U6,95.0,0.0,205.0,154.0,80.0,276.0
P-181,U5,159.0,0.0,94.0,216.0,58.0,192.0
P-182,NONE,-1,-1,-1,-1,-1,-1
P-183,U4,0.0,121.0,0.0,57.0,226.0,72.0
P-184,NONE,-1,-1,-1,-1,-1,-1
P-185,U3,137.0,221.0,130.0,204.0,263.0,230.0
